#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

RULE_CAESAR_LEGION;Rise of Caesar's Legion;;;;;;;;;;;;;x
RULE_CAESAR_LEGION_HISTORICAL_DESC;The Rise of Caesar's Legion will occur shortly after 2605.;;;;;;;;;;;;;x
RULE_CAESAR_LEGION_INVASION_RANDOM_DESC;The Rise of Caesar's Legion will occur at a random date, though at the earliest 50 years after the game is started.;;;;;;;;;;;;;x
RULE_CAESAR_LEGION_DELAYED_RANDOM_DESC;The Rise of Caesar's Legion will occur at a random date, though at the earliest 100 years after the game is started.;;;;;;;;;;;;;x
RULE_CAESAR_LEGION_OFF_DESC;The Rise of Caesar's Legion will not occur.;;;;;;;;;;;;;x
RULE_OPTION_IMMEDIATLY;Immediately;;;;;;;;;;;;;x
RULE_CAESAR_LEGION_IMMEDIATLY_DESC;The Rise of Caesar's Legion will occur right after the game start;;;;;;;;;;;;;x

IS_ROMAN_CULTIST;Follower of one of the Roman Cults;;;;;;;;;;;;;x

new_goddes_added;New Goddess Added;;;;;;;;;;;;;x

crown_face_of_mars;The Face of War;;;;;;;;;;;;;x
crown_face_of_mars_desc;This helmet depicts the face of Mars (or Ares), an ancient god of war. The infidels tremble at the sight of the stern face of this ancient deity.;;;;;;;;;;;;;x 

commentaries_of_gallic_war;Commentaries of Gallic War;;;;;;;;;;;;;x 
commentaries_of_gallic_war_desc;This ancient manuscript describes the conquest of the ancient country of Gaul by one of the antediluvian emperors of Rome - Caesar.;;;;;;;;;;;;;x

caesars_sword;Crocea Mors;;;;;;;;;;;;;x
caesars_sword_desc;This sword, whose name means "Yellow Death" according to legends, belonged to Gaius Julius Caesar himself. Many enemies of Rome has been slain by this sword.;;;;;;;;;;;;;x 

bust_of_caesar;The Bust of Caesar;;;;;;;;;;;;;x
bust_of_caesar_desc;Statue of the antediluvian emperor of Rome, Gaius Julius Caesar. A sacred relic of the Cultists of Caesar.;;;;;;;;;;;;;x

bust_of_antedeluvian_emperor;The Bust of Antediluvian Emperor;;;;;;;;;;;;;x
bust_of_antedeluvian_emperor_desc;A bust depicting one of the ancient antediluvian rulers. Some people consider it sacred.;;;;;;;;;;;;;x

the_last_day_of_pompeii;The Last Day of Pompeii;;;;;;;;;;;;;x
the_last_day_of_pompeii_desc;An antediluvian painting depicting the destruction of the ancient city of Pompeii. The symbol of Caesar's Triumph for the Cultists of Caesar, and the Symbol of Sorrow for the Cultists of Pompeius.;;;;;;;;;;;;;x    

cult_of_mars;Cult of Mars;;;;;;;;;;;;;x
cult_of_mars_DESC;The Cult of Mars holds that Julius Caesar was the son of Caesar and destined to unite the world. Upon doing so however, the traitorous Liberatores conspired to slay Caesar before his senate and people. Despite this, Mars' People avenged their fallen imperator and sacrificed the Liberatores in the name of Mars. But over time, the Liberatores returned and plagued the empire from the shadows until it eventually fell. Without Mars and his people the world brought about the Event. Now, the Prophet Caesar seeks to bring about a militant faith bound together by the common cause of Nova Pax Romanum, a New Roman Peace. Using the teachings of Mars and Rome of Old, the Cult builds new temples to Mars, legions worthy of the Mars, and speaks the tongue of their forebears. As they expand, they assimilate the faiths of those they conquer. All becoming the domain of Mars, building for the eventual return of Caesar. They prophecy that Caesar will return to them and establish the Nova Pax Romanum;;;;;;;;;;;;;x

cult_of_mars_FEATURES; Y* ! Can forcefully romanize tribal settlements;;;;;;;;;;;;;x

