#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
pontifex_created;Collegium Pontificum Created;;;;;;;;;;;;;x

#Decisions

pillage_settlement_legion;Pillage Settlement;;;;;;;;;;;;;x
stop_pillage_settlement_legion;Stop Pillaging Settlement;;;;;;;;;;;;;x

delve_into_classics_caesar_decision;Delve Into Classic;;;;;;;;;;;;;x
delve_into_classics_caesar_decision_desc;Start studing ancient scriptures for knowledge;;;;;;;;;;;;;x

form_third_rome;Restore the Third Rome;;;;;;;;;;;;;x
form_third_rome_tt;§Y[Root.GetBestName]§! creates §YRimskaya Imperiya§!.;;;;;;;;;x,,,
form_third_rome_desc;Once upon a time, the lands of Russia were known as the Third Rome. It's time to restore this ancient empire.;;;;;;;;;;;;;x

form_second_rome;Restore the Basileia ton Rhomaion;;;;;;;;;;;;;x
form_second_rome_tt;§Y[Root.GetBestName]§! creates §YBasileia ton Rhomaion§!.;;;;;;;;;;;;;x
form_second_rome_desc;I will gather the crown lands of Byzantium, and raise the old banners of Rome once more.;;;;;;;;;;;;;x

form_nova_roma;Restore the Roman Empire;;;;;;;;;;;;;x
form_nova_roma_tt;§Y[Root.GetBestName]§! creates §YImperium Romanum§!.;;;;;;;;;x,,,
form_nova_roma_desc;After a long series of campaigns, the Legion can truly call itself an Empire. It's time to proclaim Pax Nova Romana!;;;;;;;;;;;;;x

form_third_roman_republic;Create the Third Roman Republic;;;;;;;;;;;;;x
form_third_roman_republic_desc;Once upon a time, the lands of Russia were known as the Third Rome. It's time to restore this ancient empire.;;;;;;;;;;;;;x

form_second_rome_republic;Create Byzantine Republic;;;;;;;;;;;;;x
form_second_rome_republic_desc;I will gather the crown lands of Byzantium, and raise the old banners of Rome once more.;;;;;;;;;;;;;x

form_first_rome_republic;Restore the Roman Republic;;;;;;;;;;;;;x
form_first_rome_republic_desc;;A long time ago, the lands of Mediterranean was under the rule of mighty Rome. The time has come to restore this ancient republic!;;;;;;;;;;;;;x

celebrate_caesars_ascension;Celebrate Caesar's Ascension;;;;;;;;;;;;;x
celebrate_caesars_ascension_desc;Hold great festival in honor of Caesar;;;;;;;;;;;;;x

celebrate_victoria_day;Celebrate Great Triumph;;;;;;;;;;;;;x
celebrate_victoria_day_desc;Celebrate ancient victories of Third Rome;;;;;;;;;;;;;x

celebrate_belizarius_day;Celebrate Belizarius Day;;;;;;;;;;;;;x
celebrate_belizarius_day_desc;Hold great festival in honor of Belizarius;;;;;;;;;;;;;x

caesar_forceful_romanization;Romanize Province;;;;;;;;;;;;;x
caesar_forceful_romanization_desc;After clearing way for new settlement, the province is ready for Priests of Mars and Roman Citizens to begin rebuilding and teaching the ways of Mars to the remaining populace.;;;;;;;;;;;;;x  

convert_to_roman_culture;Embrace Roman Culture;;;;;;;;;;;;;x
convert_to_roman_culture_desc;Reject the old barbarian culture and embrace enlightened Roman culture.;;;;;;;;;;;;;x

form_caesars_legion;Form Caesar's Legion;;;;;;;;;;;;;;x
form_caesars_legion_desc;If I want to restore Roman Empire, I need power. Perhaps, I should create an army that allow me to reclaim former imperial lands?;;;;;;;;;;;;;x

organize_praetorian_guard;Organize Praetorian Guard;;;;;;;;;;;;;;x
organize_praetorian_guard_desc;Long ago, even pefore the Event and fall of Rome, there was an elite legion that defend roman emperors. It is time to restore this legion.;;;;;;;;;;;;;x

create_collegium_pontificum_caesarian;Create Collegium Pontificum;;;;;;;;;;;;;;x
create_collegium_pontificum_caesarian_desc;Establish the Collegium Pontificum at the Temple of Goodsprings Invictus in Vegas. A new Pontifex Maximus will receive the temple and lead the Cult of Mars from there.;;;;;;;;;;;;;;x
COLLEGIUM_GOODSPRINGS_REQUIREMENT;The Temple of Goodsprings in Vegas must be within your realm.;;;;;;;;;;;;;x

create_imperial_army_rome;Organize Imperial Legion;;;;;;;;;;;;;;x
create_imperial_army_rome_desc;Create new Imperial Army to protect the borders of Rome;;;;;;;;;;;;;;x

make_vegas_capital_caesarian;Establish Nova Roma;;;;;;;;;;;;;;x
make_vegas_capital_caesarian_desc;With Las Vegas secured, Caesar begins the process of transforming the city into Nova Roma, the new home of the Roman people.;;;;;;;;;;;;;;x
NOVA_ROMA_CAPITAL_EFFECT;Caesar takes direct control of Las Vegas and its castle at McCarran, renames both Nova Roma, moves the realm capital there, and converts the province to Roman culture and the Cult of Mars.;;;;;;;;;;;;;x
EVTNAME_CLRE_039;Nova Roma, Capital of the Legion;;;;;;;;;;;;;x
EVTDESC_CLRE_039;With Las Vegas secure, Caesar has entered the city with his praetorians. Orders to claim the city are given to all legionaries within its border, remove resistance, errect banners, and establishing a foothold within the city. If the city is to become the next Rome, it will need to be Roman. Mars shall bless this city and from it shall his armies march to the corners of the world.;;;;;;;;;;;;;x
EVTOPTA_CLRE_039;Glory to Caesar!;;;;;;;;;;;;;x

make_constantinole_capital_caesarian;Make Constantinople Capital;;;;;;;;;;;;;;x
make_constantinole_capital_caesarian_desc;;;;;;;;;;;;;;;x
make_moscow_capital_caesarian;Make Moskow Capital;;;;;;;;;;;;;;x
make_moscow_capital_caesarian_desc;;;;;;;;;;;;;;;x
moskva_capital;It's time to move center of imperial power to the Third Rome;;;;;;;;;;;;;;x
constantinople_capital;It's time to move center of imperial power to the City of Constantine;;;;;;;;;;;;;;x
caesarian_conversion_book;Embrace the faith in Mars;;;;;;;;;;;;;;x
caesarian_conversion_book_desc;The Book that I carry with me tells such a epic story about the mightiest ruler of the antediluvian age - Gaius Julius Caesar. A mere mortal cannot do what Caesar have do. Perhaps he is a God..?;;;;;;;;;;;;;;x

#Events
EVTTITLECLE16;A New Power;;;;;;;;;;;;x
EVTDESCCLE16;Rumors spread across the desert of a prophet of Mars has gathered soldiers, adventurers, and tribals beneath a laurel standard. From camps around Flagstaff they drill as one people and speak of a returning Caesar who will impose Roman order on Arizona. The host calls itself Caesar's Legion, and each day more recruits join its march.;;;;;;;;;;;;;x
EVTOPTA_CLE;Worrysome...;;;;;;;;;;;;x

EVTNAMECLE17;The March of Caesar's Legion;;;;;;;;;;;;x
EVTDESCCLE17;War drums echo across the burning sands as Caesar's Legion advances on Flagstaff. Cohorts have secured the  roads, scouts roam toward the great Colorado, and Caesar has proclaimed that the city will become the first stronghold of a new Roman order. The rulers of Arizona must now meet the Legion in battle.;;;;;;;;;;;;x 
EVTOPTA_CLE19;Horrible!;;;;;;;;;;;;x
EVTOPTB_CLE19;True to Caesar!;;;;;;;;;;;;x

EVTDESCACLE24;Ancient manuscripts from the time before the Event keep many secrets and knowledge. What knowledge do I wish to learn from the past?;;;;;;;;;;;;x
EVTOPTACLE24;I wish to study history.;;;;;;;;;;;;x 
tooltipt_CLE24_A;Ancient history hides many truths...;;;;;;;;;;;;x
EVTOPTBCLE24;I wish to study the art of war.;;;;;;;;;;;;x
tooltipt_CLE24_B;Learn about ancient tactics and strategy.;;;;;;;;;;;;x
EVTOPTCCLE24;I wish to study statecraft.;;;;;;;;;;;;x
tooltipt_CLE24_C;Learn about ancient governments.;;;;;;;;;;;;x
EVTOPTDCLE24;I wish to study politics.;;;;;;;;;;;;x
tooltipt_CLE24_D;Learn about the art of diplomacy.;;;;;;;;;;;;x
EVTDESCACLE25;Despite my best efforts, I failed in learn about ancient wisdoms.;;;;;;;;;;;;x
EVTOPTACLE25;Curses!;;;;;;;;;;;;x

EVTTITLECLE26;A New God?;;;;;;;;;;;;x
EVTDESCACLE26;You are reading the history of one of the oldest empires in the world - the Roman Empire. The names of the ancient rulers mean almost nothing to you, but the story of one of the ancient emperors, Caesar, amazed you to the depths of your soul. The more you learn about him, about his accomplishments, conquests and politics, the more you admire him. It is certanly, that ordinary mortal could not do what Caesar did in his time.;;;;;;;;;;;;x 
EVTOPTACLE26;There is no doubt that Caesar is a God!;;;;;;;;;;;;x
EVTOPTCCLE26;True to Caesar!;;;;;;;;;;;;x
EVTOPTBCLE26;A truly amazing person he was.;;;;;;;;;;;;x

EVTDESCACLE27;I have finished my study of ancient warfare. This will definitely come in handy for my future military campaigns.;;;;;;;;;;;;x 
EVTOPTACLE27;If fighting is sure to result in victory, then you must fight!;;;;;;;;;;;;x

EVTDESCACLE28;I have finished my study of statecraft. This will definitely come in handy in managing of my realm.;;;;;;;;;;;;x
EVTOPTACLE28;The wise man does at once what the fool does finally.;;;;;;;;;;;;x

EVTDESCACLE29;I have finished my study of diplomacy. This will definitely come in handy in my future foreign negotiations.;;;;;;;;;;;;x
EVTOPTACLE29;A prince never lacks legitimate reasons to break his promise.;;;;;;;;;;;;x

EVTNAMECLE30;Creating a New Religion;;;;;;;;;;;;x
EVTDESCAHCLE30;There is no doubt that Caesar is a God, and I must spread new faith in Divine Caesar. But establishing a new religion is not an easy task. How should I proceed? Should I use my authority as a ruler to establish new Cult of Caesar quickly, or gain support in the shadows before revealing a new teaching to the world?;;;;;;;;;;;;x  
EVTOPTAHCLE30;I am the ruler. They are obliged to obey.;;;;;;;;;;;;x
tooltip_HCLE30_A;Your more fanatical vassals will not be happy about that.;;;;;;;;;;;;x
EVTOPTBHCLE30;I must gather support first.;;;;;;;;;;;;x
EVTDESCACLE32;[Root.GetTitledName],\nWe have come to the conclusion that our current beliefs will not lead us anywhere except to barbarism and devastation. Therefore, I invite you to turn to my new faith, the faith in the Divine Caesar, which will restore order in the world and in our domain.\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTACLE32;I will not betray the religion of my ancestors!;;;;;;;;;;;;x
EVTOPTBCLE32_A;True to Mars!;;;;;;;;;;;;x
EVTDESCACLE33;I shall not be part of this farce. I am a §Y[From.Religion.GetName]§!, and I will not abandon my faith in [From.Religion.GetHighGodName].\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;x
EVTOPTACLE33;Unfortunate.;;;;;;;;;;;;x
EVTDESCACLE34;I am happy to stand right beside you for the creation of Cult of Mars, my [Root.GetTitle].\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;x
EVTOPTACLE34;Excellent.;;;;;;;;;;;;x
EVTDESCACLE35;[Root.GetTitledName],\nI have come to the conclusion to abide by the new state decree and convert to the Cult of Mars. I expect all my subordinates to follow me in this decision.\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;;x

EVTTITLECLE36;A New Faith;;;;;;;;;;;;x
EVTDESCACLE36;There is news that a new faith has emerged in the lands of [Root.GetFullBaseName]. [Root.GetTitledName] announced the creation of the Cult of Mars, a new religion that worships Mars the God of War of pre-Event times, as well as long-forgotten gods similar to the gods of the Hellenic pagans. Time will tell whether this new faith survives or whether it will be swept away by the sands of time.;;;;;;;;;;;;;x
EVTOPTACLE36;True to Mars!;;;;;;;;;;;;x
EVTOPTBCLE36;True to Mars!;;;;;;;;;;;;x
EVTOPTCCLE36;Cursed pagans!;;;;;;;;;;;;x
EVTOPTDCLE36;Worrysome...;;;;;;;;;;;;x

EVTDESCAHCLE37;Creation of the Cult of Mars is only the first step towards restoring Pax Romana in the world. As a faithful follower of Mars, I must make sure that ancient Roman culture and customs are restored so that order and prosperity can be established in my lands. Should I introduce new world culture immediately?;;;;;;;;;;;;;x
