secret_religious_society_cult_of_mars;The Populares;;;;;;;;;x
secret_religious_society_cult_of_mars_desc;A long time ago, many millennia before the Event, there was a party of Populares in Rome. These were noble people who cared about the common people, and their leader was the Divine Caesar, whom the Populares brought to power. And a thousand years later, the Populares are again ready to bring the truth to the people.;;;;;;;;;x
secret_religious_society_cult_of_mars_currency;Devotion;Dйvotion;Hingabe;;Devociуn;;;;;;;;;x
secret_religious_society_cult_of_mars_leader_desc;Prophet;;;;;;;;;x
alt_start_community_name_cult_of_mars;The [cult_of_mars.GetName] Faithful;Fidиles [cult_of_mars.GetName]s;Die [cult_of_mars.GetName]en Glдubigen;;Creyentes [cult_of_mars.GetName]s;;;;;;;;;x
secretly_convert_to_cult_of_mars_holy_site;Secretly Convert to [cult_of_mars.GetName];Adopter en secret la foi [cult_of_mars.GetName];Heimlich zum [cult_of_mars.GetName] Glauben konvertieren;;Convertirse en secreto a la religiуn [cult_of_mars.GetName];;;;;;;;;x
secretly_convert_to_cult_of_mars_holy_site_desc;The §Y[cult_of_mars.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pиlerins §Y[cult_of_mars.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tentй[Root.Get_E] de me convertir en secret...;Die §Y[cult_of_mars.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[cult_of_mars.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasiуn de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_cult_of_pompeius;The Optimates;;;;;;;;;x
secret_religious_society_cult_of_pompeius_desc;Optimates, "The Best" were the people who lived in the Sacred City of Pompeii - they were named so because they were kind, merciful and pious. But after the destruction of Pompeii, the surviving Optimates scattered throughout the world, not forgetting, however, their virtues. And now the Optimats are multiplying their number in order to rebuild the Holy City after the Return of Pompeius.;;;;;;;;;x
secret_religious_society_cult_of_pompeius_currency;Devotion;Dйvotion;Hingabe;;Devociуn;;;;;;;;;x
secret_religious_society_cult_of_pompeius_leader_desc;Prophet;;;;;;;;;x
alt_start_community_name_cult_of_pompeius;The [cult_of_pompeius.GetName] Faithful;Fidиles [cult_of_pompeius.GetName]s;Die [cult_of_pompeius.GetName]en Glдubigen;;Creyentes [cult_of_pompeius.GetName]s;;;;;;;;;x
secretly_convert_to_cult_of_pompeius_holy_site;Secretly Convert to [cult_of_pompeius.GetName];Adopter en secret la foi [cult_of_pompeius.GetName];Heimlich zum [cult_of_pompeius.GetName] Glauben konvertieren;;Convertirse en secreto a la religiуn [cult_of_pompeius.GetName];;;;;;;;;x
