LEGATUS;Legatus;;;;;;;;x
LEGATUS_FOA;Legatus;;;;;;;;x

found_legio_system;Found Legions System;;;;;;;;;;;;
found_legio_system_desc;We have become Rome in all its greatness with the exception of one thing - Legions. If we can restore the ancient legions, no one can stop us.;;;;;;;;;;;;

LEGT.1;The revival of the Roman legions;;;;;;;;x
LEGTXT.1;"Again, like many millenia ago, columns of soldiers marching in the name of Rome, marking the return of a golden age for this land. [Root.GetTitledFirstName], using knowledge from ancient manuscripts and the advice of the best minds of Rome, was able to recreate the system of Roman Legions that are preparing to conquer America. And although the first Roman legion does not pose a particular threat, as Rome grows, more and more legionnaires will stand under the Roman flags.";;;;;;;;x

LEGO.1;Roma Invicta!;;;;;;;;x
LEGT.2;Legio I Italica Restored;;;;;;;;x
LEGTXT.2;Legio I Italica was the first Legion in Roman history, participating in many battles guarding Rome for centuries. And now, after many more centuries have passed since the fall of Rome, the First Roman Legion is again ready to protect the People of the Rome from barbarians, guaranteeing Rome will never fall again. [work in progress];;;;;;;;x

LEGO.2;Roma Invicta!;;;;;;;;x
LEGT.3;Legio VI Ferrata Restored;;;;;;;;x
LEGTXT.3;Legio VI Ferrata, [work in progress].;;;;;;;;x

LEGT.4;Legio V Alaudae Restored;;;;;;;;x
LEGTXT.4;Legio V Alaudae [work in progress];;;;;;;;x

LEGT.5;Legio XIII Gemina Restored;;;;;;;;x
LEGTXT.5;Legio XIII Gemina [work in progress];;;;;;;;x

LEGT.6;Legio III Cyrenaica Restored;;;;;;;;x
LEGTXT.6;Legio III Cyrenaica [work in progress];;;;;;;;x

LEGT.7;Legio XXII Deiotariana Restored;;;;;;;;x
LEGTXT.7;Legio XXII Deiotariana,[work in progress];;;;;;;;x

LEGT.8;Legio IX Hispana Restored;;;;;;;;x
LEGTXT.8;Legio IX Hispana, [work in progress];;;;;;;;x

LEGT.9;Legio XV Apollinaris Restored;;;;;;;;x
LEGTXT.9;Legio XV Apollinaris, [work in progress];;;;;;;;x

LEGT.10;Legio IV Macedonica Restored;;;;;;;;x
LEGTXT.10;Legio IV Macedonica[work in progress];;;;;;;;x

LEGT.11;Legio XX Valeria Victrix Restored;;;;;;;;x
LEGTXT.11;Legio XX Valeria Victrix,[work in progress];;;;;;;;x

LEGT.12;Legio X Fretensis Restored;;;;;;;;x
LEGTXT.12;Legio X Fretensis, [work in progress];;;;;;;;x

d_legio_i_italica;Legio I Italica;;;;;;;;x
d_legio_vi_ferrata;Legio VI Ferrata;;;;;;;;x
d_legio_v_alaudae;Legio V Alaudae;;;;;;;;x
d_legio_xiii_gemina;Legio XIII Gemina;;;;;;;;x
d_legio_iii_cyrenaica;Legio III Cyrenaica;;;;;;;;x
d_legio_xxii_deiotariana;Legio XXII Deiotariana;;;;;;;;x
d_legio_ix_hispana;Legio IX Hispana;;;;;;;;x
d_legio_xv_apollinaris;Legio XV Apollinaris;;;;;;;;x
d_legio_iv_macedonica;Legio IV Macedonica;;;;;;;;x
d_legio_xx_valeria_victrix;Legio XX Valeria Victrix;;;;;;;;x
d_legio_x_fretensis;Legio X Fretensis;;;;;;;;x
organize_legio_i_italica;Organize Legio I Italica;;;;;;;;x
organize_legio_vi_ferrata;Organize Legio VI Ferrata;;;;;;;;x
organize_legio_v_alaudae;Organize Legio V Alaudae;;;;;;;;x
organize_legio_xiii_gemina;Organize Legio XIII Gemina;;;;;;;;x
organize_legio_iii_cyrenaica;Organize Legio III Cyrenaica;;;;;;;;x
organize_legio_xxii_deiotariana;Organize Legio XXII Deiotariana;;;;;;;;x
organize_legio_ix_hispana;Organize Legio IX Hispana;;;;;;;;x
organize_legio_xv_apollinaris;Organize Legio XV Apollinaris;;;;;;;;x
organize_legio_iv_macedonica;Organize Legio IV Macedonica;;;;;;;;x
organize_legio_xx_valeria_victrix;Organize Legio XX Valeria Victrix;;;;;;;;x
organize_legio_i_italica_desc;Organize Legio I Italica;;;;;;;;x
organize_legio_vi_ferrata_desc;Organize Legio VI Ferrata;;;;;;;;x
organize_legio_v_alaudae_desc;Organize Legio V Alaudae;;;;;;;;x
organize_legio_xiii_gemina_desc;Organize Legio XIII Gemina;;;;;;;;x
organize_legio_iii_cyrenaica_desc;Organize Legio III Cyrenaica;;;;;;;;x
organize_legio_xxii_deiotariana_desc;Organize Legio XXII Deiotariana;;;;;;;;x
organize_legio_ix_hispana_desc;Organize Legio IX Hispana;;;;;;;;x
organize_legio_xv_apollinaris_desc;Organize Legio XV Apollinaris;;;;;;;;x
organize_legio_iv_macedonica_desc;Organize Legio IV Macedonica;;;;;;;;x
organize_legio_xx_valeria_victrix_desc;Organize Legio XX Valeria Victrix;;;;;;;;x
organize_legio_x_fretensis;Organize Legio X Fretensis;;;;;;;;x
